
2024/07/18 (21:45:20) | ===> btop++ v.1.3.2
2024/07/18 (21:45:20) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/18 (21:46:53) | ===> btop++ v.1.3.2
2024/07/18 (21:46:53) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/19 (10:24:42) | ===> btop++ v.1.3.2
2024/07/19 (10:24:42) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/19 (11:06:29) | ===> btop++ v.1.3.2
2024/07/19 (11:06:29) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/07/19 (11:08:01) | ERROR: Exception during Config::unlock() : unordered_map::at

2024/07/19 (11:08:13) | ===> btop++ v.1.3.2
2024/07/19 (11:08:13) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/04 (22:40:47) | ===> btop++ v.1.3.2
2024/08/04 (22:40:47) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/05 (16:02:16) | ===> btop++ v.1.3.2
2024/08/05 (16:02:16) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/05 (16:07:43) | ===> btop++ v.1.3.2
2024/08/05 (16:07:43) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/05 (16:08:18) | ===> btop++ v.1.3.2
2024/08/05 (16:08:18) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/05 (16:08:45) | ===> btop++ v.1.3.2
2024/08/05 (16:08:45) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/05 (16:10:12) | ===> btop++ v.1.3.2
2024/08/05 (16:10:12) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/05 (16:11:03) | ===> btop++ v.1.3.2
2024/08/05 (16:11:03) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/05 (16:20:30) | ===> btop++ v.1.3.2
2024/08/05 (16:20:30) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/07 (13:28:20) | ===> btop++ v.1.3.2
2024/08/07 (13:28:20) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/16 (18:40:34) | ===> btop++ v.1.3.2
2024/08/16 (18:40:34) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/17 (00:15:18) | ===> btop++ v.1.3.2
2024/08/17 (00:15:18) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/17 (12:37:10) | ===> btop++ v.1.3.2
2024/08/17 (12:37:10) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/17 (15:01:43) | ===> btop++ v.1.3.2
2024/08/17 (15:01:43) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/17 (15:14:38) | ===> btop++ v.1.3.2
2024/08/17 (15:14:38) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/08/17 (15:14:38) | ERROR: Invalid hex value:  Main text color

2024/08/17 (15:19:46) | ===> btop++ v.1.3.2
2024/08/17 (15:19:46) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/08/17 (15:19:46) | ERROR: Invalid hex value:  Main text color

2024/08/17 (15:56:53) | ===> btop++ v.1.3.2
2024/08/17 (15:56:53) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/08/17 (15:56:53) | ERROR: Invalid hex value:  Main text color

2024/08/17 (15:56:58) | ===> btop++ v.1.3.2
2024/08/17 (15:56:58) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/08/17 (15:56:58) | ERROR: Invalid hex value:  Main text color

2024/08/19 (15:51:24) | ===> btop++ v.1.3.2
2024/08/19 (15:51:24) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/08/19 (15:51:24) | ERROR: Invalid hex value:  Main text color

2024/08/30 (00:32:11) | ===> btop++ v.1.3.2
2024/08/30 (00:32:11) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/08/30 (00:32:11) | ERROR: Invalid hex value:  Main text color

2024/09/02 (23:32:15) | ===> btop++ v.1.3.2
2024/09/02 (23:32:15) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/09/02 (23:32:15) | ERROR: Invalid hex value:  Main text color

2024/09/03 (04:13:48) | ===> btop++ v.1.3.2
2024/09/03 (04:13:48) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
